ID del damnificado;# integrantes;Familiares de apoyo (1 = SI);origen del damnificado (1 = local);años de instalación en la ciudad;Estrato social;Dias en albergue
1;4;1;1;1;3;1
2;5;1;0;4;2;1
3;1;1;1;4;5;8
4;1;0;1;2;2;38
5;1;1;1;2;2;9
6;2;1;1;6;2;8
7;8;0;1;4;2;1
8;2;0;0;2;4;6
9;1;1;1;1;5;4
10;1;0;0;2;1;9
11;2;1;1;2;2;7
12;3;1;1;6;2;9
13;2;1;1;2;1;14
14;5;1;0;1;2;3
15;1;1;1;1;1;3
16;5;0;1;2;1;18
17;2;1;0;2;3;6
18;2;1;0;1;1;2
19;3;1;1;3;2;1
20;2;0;1;4;2;6
21;5;1;1;3;3;2
22;4;1;0;2;1;1
23;2;0;1;4;2;1
24;2;1;1;5;1;1
25;6;1;1;2;3;0
26;4;1;0;4;1;2
27;5;0;0;2;2;13
28;5;1;1;3;4;2
29;6;1;1;2;2;5
30;5;1;1;1;2;7
31;3;0;0;2;1;5
32;2;1;1;3;2;17
33;2;0;1;0;2;6
34;6;1;1;2;1;11
35;3;1;1;3;1;3
36;3;1;0;4;2;1
37;2;1;0;2;2;4
38;1;1;0;3;3;5
39;3;1;1;1;3;7
40;1;0;1;1;4;5
41;5;1;0;2;5;0
42;2;1;0;3;1;0
43;6;1;1;0;1;11
44;5;0;1;6;3;1
45;5;1;0;4;2;1
46;4;1;1;3;3;13
47;2;0;1;2;1;3
48;5;1;1;3;4;0
49;5;0;0;6;2;7
50;1;1;1;6;3;1
51;3;1;1;2;1;18
52;5;0;1;4;3;3
53;2;1;0;3;2;0
54;3;1;1;1;2;0
55;4;1;1;6;1;10
56;3;0;0;3;3;2
57;4;1;1;5;2;1
58;2;1;0;3;1;6
59;1;1;1;2;2;22
60;1;1;0;2;3;5
61;2;1;0;5;1;3
62;1;1;1;5;1;3
63;1;1;0;3;2;8
64;2;0;1;4;2;6
65;2;0;1;4;3;17
66;3;1;0;3;3;2
67;1;1;1;2;2;0
68;2;0;0;3;1;14
69;6;0;1;2;3;0
70;2;1;1;2;1;8
71;5;0;0;2;1;2
72;3;1;0;5;1;3
73;3;1;0;1;1;14
74;6;0;0;7;5;6
75;2;1;1;4;2;14
76;2;0;0;3;5;3
77;3;1;0;1;5;2
78;2;0;1;1;3;25
79;6;0;0;2;2;8
80;2;1;1;3;1;9
81;3;1;1;7;2;2
82;3;1;1;6;5;44
83;2;1;1;4;1;3
84;5;0;0;3;3;6
85;1;1;0;3;3;3
86;2;1;1;4;3;10
87;1;1;1;3;2;4
88;3;1;0;5;1;4
89;1;1;1;7;5;7
90;3;1;0;0;1;1
91;5;1;1;4;1;8
92;2;1;1;2;2;2
93;5;1;0;4;3;1
94;2;1;0;1;2;16
95;4;1;1;3;1;12
96;5;1;1;1;1;5
97;2;1;0;2;2;4
98;4;1;1;4;3;13
99;2;1;1;1;5;6
100;3;0;0;1;3;2
101;3;1;0;2;4;2
102;4;1;0;2;3;1
103;2;1;1;5;3;12
104;1;1;1;1;1;8
105;6;1;0;2;1;8
106;6;1;1;2;2;1
107;3;1;1;1;1;5
108;3;0;1;3;3;26
109;3;0;1;3;1;6
110;2;1;0;4;1;3
111;5;1;1;5;1;2
112;2;0;1;4;2;9
113;6;1;1;3;4;1
114;3;0;1;4;2;19
115;2;0;0;2;3;5
116;6;1;0;2;5;0
117;5;0;1;2;1;4
118;4;1;1;2;5;2
119;6;1;0;5;2;0
120;2;1;0;4;3;16
121;2;1;1;3;5;6
122;7;1;0;2;5;0
123;3;0;1;5;3;13
124;6;1;0;1;5;0
125;1;0;1;3;1;18
126;3;1;1;3;1;5
127;3;1;0;3;2;6
128;2;1;0;4;1;11
129;3;0;1;1;5;2
130;5;1;1;1;2;2
131;5;0;0;2;3;11
132;4;1;1;1;2;6
133;5;1;1;4;3;10
134;2;0;0;2;3;9
135;4;0;0;3;1;2
136;5;1;1;2;1;0
137;6;0;1;4;3;3
138;3;1;1;3;3;23
139;2;1;0;4;4;0
140;1;1;0;6;1;12
141;3;1;0;4;2;3
142;5;1;0;6;3;8
143;4;0;0;5;2;2
144;2;0;0;1;5;8
145;6;0;0;1;4;4
146;2;1;1;5;5;1
147;1;1;1;1;1;13
148;1;1;1;2;4;1
149;3;1;0;3;3;0
150;3;1;1;1;1;10
151;5;1;0;2;1;14
152;2;1;0;4;2;1
153;2;0;0;2;3;11
154;2;1;0;5;2;2
155;3;0;0;3;2;31
156;2;1;1;4;1;8
157;2;1;0;2;5;1
158;2;1;1;5;3;0
159;2;1;1;7;2;12
160;3;1;1;3;4;9
161;5;0;0;2;2;4
162;1;1;0;5;4;1
163;5;0;1;4;2;10
164;4;1;1;1;1;2
165;3;1;0;4;2;8
166;2;1;0;5;5;1
167;2;1;1;2;1;1
168;5;1;1;2;4;8
169;5;0;0;3;3;2
170;5;1;0;3;2;1
171;2;1;1;2;2;2
172;2;0;1;2;1;1
173;2;0;1;2;4;16
174;5;1;0;3;1;2
175;5;1;0;3;1;6
176;5;1;1;1;1;9
177;2;1;0;1;3;5
178;4;0;0;5;1;12
179;7;1;1;1;1;5
180;3;1;1;2;1;5
181;3;1;0;2;1;2
182;5;1;0;4;1;0
183;3;0;0;3;2;7
184;5;0;1;2;4;1
185;6;1;0;7;2;3
186;2;1;1;4;1;14
187;5;1;0;2;4;0
188;1;1;0;3;4;0
189;2;1;0;1;3;6
190;4;1;1;2;1;5
191;3;1;0;2;1;6
192;2;1;1;5;4;1
193;2;1;1;3;1;24
194;6;1;1;3;2;2
195;3;1;1;2;1;2
196;5;1;1;3;3;9
197;4;1;1;1;1;17
198;4;1;0;2;1;3
199;5;1;0;4;3;1
200;4;1;1;2;3;13
201;5;1;0;4;1;2
202;1;1;0;1;2;7
203;2;1;1;1;4;12
204;2;0;1;2;1;5
205;2;1;1;3;2;5
206;5;1;0;1;3;0
207;3;1;1;5;1;19
208;3;0;1;0;1;5
209;1;1;1;3;1;8
210;3;1;1;5;2;1
211;2;0;1;5;5;6
212;1;1;0;3;1;5
213;3;0;1;1;2;10
214;1;1;1;3;3;11
215;2;1;0;4;4;1
216;2;0;0;5;2;2
217;5;0;1;4;1;12
218;4;0;1;1;1;7
219;3;0;0;3;1;5
220;2;1;0;1;3;5
221;2;1;0;4;2;10
222;2;0;1;2;5;3
223;5;0;1;1;1;13
224;2;1;1;1;1;15
225;4;1;0;3;2;6
226;5;1;0;3;2;2
227;2;0;1;2;1;1
228;5;1;1;2;1;15
229;2;1;1;3;3;12
230;3;1;0;5;2;4
231;2;1;0;2;5;3
232;1;1;1;1;1;0
233;2;1;0;3;5;2
234;3;1;1;5;2;4
235;4;0;1;2;1;11
236;2;1;0;1;4;2
237;3;1;1;2;1;3
238;3;1;0;1;3;8
239;2;0;0;3;2;9
240;2;1;1;5;5;2
241;3;1;1;4;2;4
242;2;1;1;4;1;10
243;4;1;1;4;4;2
244;2;1;0;2;4;1
245;2;1;1;2;2;12
246;4;0;0;4;2;4
247;2;0;1;5;5;19
248;1;0;1;6;1;5
249;2;0;0;4;5;21
250;7;1;1;2;2;26
251;4;1;1;2;2;11
252;3;1;0;5;4;1
253;5;1;1;0;3;6
254;2;1;0;2;3;1
255;7;1;0;3;5;0
256;3;1;1;2;2;4
257;2;0;1;2;5;15
258;5;1;0;2;4;0
259;1;1;1;2;1;6
260;6;1;0;5;1;0
261;3;0;1;2;3;0
262;2;1;1;3;1;28
263;2;0;1;6;1;14
264;2;1;0;1;1;3
265;3;1;0;2;1;1
266;3;1;0;6;1;6
267;8;1;1;8;4;19
268;3;1;1;2;3;11
269;3;0;0;8;4;3
270;3;0;1;9;3;1
271;2;1;0;1;3;5
272;1;1;1;5;2;1
273;8;1;0;1;1;4
274;3;1;0;6;1;15
275;4;0;0;1;2;1
276;2;1;0;6;2;3
277;2;1;0;3;2;6
278;2;1;1;5;1;7
279;3;1;1;3;1;19
280;2;0;1;2;1;1
281;3;1;1;1;3;34
282;2;0;1;0;3;5
283;1;0;1;3;2;32
284;6;1;1;3;4;5
285;2;0;0;3;1;0
286;2;0;1;2;4;10
287;1;1;1;2;1;4
288;2;1;1;2;1;4
289;4;1;1;5;4;1
290;4;1;0;6;4;2
291;5;0;1;3;4;4
292;2;0;1;5;3;10
293;1;1;1;2;2;30
294;1;1;0;6;4;3
295;3;0;0;3;1;6
296;2;1;1;3;4;19
297;5;1;0;3;3;3
298;1;1;1;1;3;7
299;3;1;0;3;1;7
300;3;0;0;3;2;10
301;6;1;1;4;1;13
302;3;1;1;1;2;2
303;4;1;0;0;1;6
304;3;1;0;2;3;6
305;6;1;0;2;2;2
306;2;1;0;4;1;4
307;1;0;1;4;5;16
308;5;1;1;2;1;2
309;5;1;0;3;3;2
310;5;1;1;4;4;1
311;4;1;1;4;2;3
312;3;0;1;3;2;3
313;2;0;0;4;2;2
314;1;1;1;5;3;3
315;4;1;0;1;1;3
316;4;1;1;6;4;1
317;2;0;1;3;4;3
318;5;0;1;3;1;13
319;5;1;1;3;2;2
320;4;1;0;4;5;0
321;5;0;0;9;2;11
322;3;0;1;1;2;6
323;4;1;0;3;4;0
324;2;1;1;2;2;4
325;3;1;0;3;3;4
326;7;1;1;4;1;12
327;3;1;0;4;1;3
328;7;1;0;4;2;1
329;5;0;0;2;1;3
330;5;1;0;3;1;4
331;3;1;1;3;3;1
332;5;0;0;3;4;5
333;3;1;0;1;1;9
334;2;1;1;5;2;1
335;2;1;0;1;4;2
336;5;1;1;3;3;2
337;2;0;0;2;1;3
338;4;1;0;2;1;0
339;4;1;0;3;3;2
340;2;1;1;2;5;7
341;2;1;1;5;2;4
342;2;1;1;2;3;1
343;3;1;0;2;2;1
344;5;1;0;4;2;2
345;2;1;0;3;3;6
346;3;1;0;2;1;7
347;1;0;0;2;3;13
348;5;1;0;3;3;3
349;5;0;0;0;5;5
350;2;0;0;4;3;29
351;6;0;0;2;5;2
352;2;1;1;3;1;2
353;1;1;1;2;3;21
354;2;1;1;4;1;1
355;2;0;0;3;2;6
356;5;1;1;5;5;2
357;2;0;0;0;2;4
358;2;1;0;6;3;10
359;5;1;1;3;1;0
360;1;1;0;3;4;3
361;3;1;1;5;3;6
362;1;0;0;7;1;10
363;2;1;0;2;1;11
364;2;0;1;4;3;4
365;1;1;0;6;1;62
366;3;0;1;3;1;11
367;2;0;0;4;1;1
368;4;1;0;4;2;1
369;3;0;0;7;3;2
370;5;0;1;2;1;5
371;2;0;0;1;1;3
372;5;1;0;7;1;10
373;2;0;1;3;2;17
374;5;1;1;0;1;5
